age,annual_income,ethnicity,highest_education,marital_status,employment_status,preferred_ice_cream,owns_car,owns_home,choice
65,70000,caucasian,high-school,single,employed,chocolate,no,no,party-a
26,149000,african-american,graduate-professional,single,employed,vanilla,no,yes,party-a
35,39000,african-american,high-school,married,employed,vanilla,no,no,party-b
24,37500,caucasian,high-school,single,employed,chocolate,yes,no,party-a
23,80000,asian,college,single,employed,vanilla,yes,yes,party-a
44,46500,african-american,college,married,employed,vanilla,no,no,party-b
22,61000,other,college,single,unemployed,vanilla,yes,yes,party-a
22,83500,caucasian,high-school,single,employed,vanilla,yes,no,party-a
39,38000,asian,college,married,employed,vanilla,no,yes,party-b
45,63000,other,not-high-school,married,employed,vanilla,yes,no,party-b
45,61000,asian,college,single,employed,chocolate,yes,yes,party-a
82,91000,asian,graduate-professional,married,unemployed,vanilla,yes,no,party-b
22,59500,asian,high-school,single,unemployed,vanilla,yes,no,party-a
52,86000,african-american,college,married,employed,vanilla,no,yes,party-b
25,57000,caucasian,college,single,employed,vanilla,no,no,party-a
74,31000,caucasian,high-school,married,unemployed,vanilla,yes,yes,party-a
33,27500,asian,graduate-professional,single,employed,vanilla,yes,no,party-b
44,41000,asian,college,single,employed,chocolate,yes,no,party-b
25,62000,hispanic,high-school,single,employed,chocolate,no,no,party-a
37,77000,hispanic,college,single,employed,vanilla,yes,yes,party-b
56,40500,asian,college,single,employed,vanilla,yes,yes,party-b
73,45500,african-american,not-high-school,married,unemployed,chocolate,yes,yes,party-b
58,36000,asian,college,married,employed,vanilla,no,no,party-b
57,35000,asian,high-school,married,employed,chocolate,no,no,party-b
29,90500,asian,college,married,employed,vanilla,yes,no,party-a
37,38500,asian,high-school,married,employed,chocolate,no,yes,party-b
21,25500,asian,high-school,single,employed,vanilla,no,yes,party-a
56,45000,african-american,high-school,married,employed,chocolate,no,no,party-b
32,24500,asian,high-school,single,employed,chocolate,yes,no,party-b
70,96000,asian,not-high-school,married,unemployed,vanilla,yes,no,party-b
69,41500,caucasian,not-high-school,married,unemployed,vanilla,yes,no,party-b
51,165000,african-american,graduate-professional,married,unemployed,vanilla,yes,no,party-b
66,101500,hispanic,college,married,employed,chocolate,yes,yes,party-a
19,42500,african-american,high-school,single,unemployed,chocolate,no,no,party-a
42,69500,hispanic,college,single,employed,vanilla,yes,no,party-a
56,86000,african-american,high-school,single,employed,vanilla,yes,yes,party-a
38,93000,hispanic,graduate-professional,single,employed,chocolate,yes,no,party-a
23,25000,asian,high-school,single,employed,vanilla,no,yes,party-b
80,35000,caucasian,high-school,married,employed,vanilla,no,yes,party-a
46,72000,asian,graduate-professional,single,employed,chocolate,yes,yes,party-a
84,49500,asian,not-high-school,married,employed,vanilla,no,yes,party-a
27,54500,caucasian,not-high-school,single,employed,chocolate,yes,no,party-a
58,70500,hispanic,graduate-professional,married,employed,vanilla,yes,no,party-a
19,44500,other,high-school,married,unemployed,chocolate,yes,no,party-b
24,62000,asian,high-school,single,employed,vanilla,yes,no,party-a
55,116000,caucasian,high-school,married,employed,chocolate,yes,no,party-b
45,46000,hispanic,high-school,married,employed,vanilla,no,no,party-b
47,23500,caucasian,not-high-school,single,employed,vanilla,yes,no,party-b
45,29000,asian,college,single,employed,chocolate,yes,no,party-b
40,30000,african-american,high-school,married,employed,vanilla,no,no,party-b
55,51500,asian,college,married,employed,vanilla,yes,yes,party-a
46,60000,african-american,graduate-professional,married,employed,chocolate,no,no,party-a
59,22000,african-american,college,married,employed,chocolate,yes,no,party-a
18,61000,african-american,college,single,employed,chocolate,no,no,party-a
22,34500,caucasian,not-high-school,single,employed,vanilla,yes,no,party-a
57,34500,caucasian,graduate-professional,married,employed,vanilla,no,no,party-b
34,103000,caucasian,college,married,employed,chocolate,no,yes,party-a
42,45500,hispanic,not-high-school,single,unemployed,vanilla,yes,no,party-b
20,27000,african-american,not-high-school,single,employed,chocolate,yes,no,party-a
78,65000,other,college,married,unemployed,chocolate,yes,yes,party-a
36,48000,other,college,single,employed,chocolate,yes,yes,party-a
77,74500,other,college,single,unemployed,chocolate,yes,yes,party-b
68,40000,asian,high-school,married,unemployed,chocolate,no,no,party-b
69,34000,asian,not-high-school,married,employed,vanilla,yes,yes,party-b
54,122500,hispanic,graduate-professional,married,employed,chocolate,yes,no,party-b
39,20500,hispanic,high-school,single,unemployed,chocolate,no,no,party-a
25,50500,asian,college,single,employed,vanilla,yes,no,party-a
74,49500,other,high-school,single,unemployed,chocolate,no,yes,party-a
54,72000,asian,high-school,single,employed,vanilla,yes,yes,party-b
74,220000,other,college,married,unemployed,chocolate,yes,yes,party-b
74,57000,other,college,married,unemployed,vanilla,yes,yes,party-a
78,60500,hispanic,high-school,married,employed,vanilla,no,no,party-a
31,30000,caucasian,not-high-school,single,employed,vanilla,no,no,party-b
68,61500,other,high-school,married,unemployed,vanilla,yes,yes,party-a
82,69000,hispanic,college,single,employed,chocolate,no,no,party-a
82,121500,asian,graduate-professional,married,unemployed,vanilla,yes,no,party-a
35,32500,asian,college,single,employed,chocolate,yes,yes,party-b
33,60500,asian,college,single,employed,chocolate,no,no,party-a
58,34000,asian,not-high-school,married,employed,vanilla,no,yes,party-b
66,96000,hispanic,college,married,employed,vanilla,no,no,party-b
71,24500,african-american,high-school,single,unemployed,vanilla,no,yes,party-a
48,36000,caucasian,high-school,married,unemployed,vanilla,no,no,party-b
21,152000,hispanic,high-school,married,unemployed,chocolate,yes,no,party-a
43,54500,other,college,single,unemployed,chocolate,yes,yes,party-b
40,29500,caucasian,high-school,married,employed,chocolate,yes,no,party-b
66,42000,african-american,college,single,employed,vanilla,yes,yes,party-a
31,45500,asian,graduate-professional,single,employed,chocolate,no,no,party-a
44,34500,asian,not-high-school,married,employed,chocolate,yes,no,party-b
64,33000,other,college,married,unemployed,chocolate,yes,no,party-b
37,99500,african-american,college,single,employed,chocolate,yes,yes,party-b
53,40500,african-american,college,single,employed,chocolate,yes,no,party-a
69,83000,caucasian,not-high-school,married,unemployed,vanilla,no,no,party-b
76,93000,asian,graduate-professional,single,unemployed,chocolate,yes,no,party-a
25,48000,african-american,college,married,employed,chocolate,yes,no,party-a
38,50000,asian,high-school,single,employed,vanilla,yes,no,party-b
52,40500,asian,college,married,employed,chocolate,yes,no,party-b
52,44000,african-american,graduate-professional,married,employed,chocolate,no,no,party-a
51,161000,caucasian,graduate-professional,married,employed,chocolate,yes,yes,party-b
71,62500,hispanic,high-school,single,unemployed,vanilla,yes,no,party-a
47,78000,asian,graduate-professional,single,employed,vanilla,yes,yes,party-b
56,46500,other,high-school,single,employed,vanilla,no,yes,party-a
35,69500,hispanic,graduate-professional,married,employed,chocolate,yes,no,party-b
84,30000,other,not-high-school,single,employed,vanilla,yes,yes,party-b
55,24500,other,college,single,employed,vanilla,yes,yes,party-b
60,77000,caucasian,college,single,unemployed,vanilla,no,yes,party-a
62,21000,caucasian,high-school,single,employed,chocolate,yes,yes,party-b
80,38000,asian,high-school,single,unemployed,chocolate,no,yes,party-b
69,97500,asian,college,married,unemployed,chocolate,yes,yes,party-a
64,52500,hispanic,college,married,employed,chocolate,no,yes,party-a
50,25000,hispanic,not-high-school,married,unemployed,vanilla,yes,yes,party-b
34,74500,hispanic,graduate-professional,single,employed,chocolate,yes,yes,party-a
38,45500,asian,not-high-school,single,employed,vanilla,no,no,party-a
39,58000,other,graduate-professional,single,employed,vanilla,no,yes,party-b
76,62000,asian,college,single,unemployed,chocolate,no,no,party-a
28,61500,asian,high-school,single,employed,vanilla,yes,yes,party-a
34,39500,asian,college,married,employed,vanilla,yes,yes,party-a
63,132500,other,college,single,employed,chocolate,no,yes,party-b
55,24500,hispanic,not-high-school,married,unemployed,chocolate,no,yes,party-a
18,60500,caucasian,not-high-school,married,employed,vanilla,yes,no,party-a
53,19000,asian,high-school,single,unemployed,vanilla,yes,no,party-b
64,53000,hispanic,high-school,married,employed,chocolate,no,no,party-b
72,78500,african-american,not-high-school,married,unemployed,chocolate,no,no,party-b
40,98500,asian,graduate-professional,single,employed,vanilla,no,no,party-b
82,20000,hispanic,high-school,single,employed,vanilla,yes,no,party-b
33,42000,caucasian,graduate-professional,single,employed,chocolate,no,no,party-a
80,23000,other,high-school,married,employed,chocolate,no,no,party-b
64,65500,asian,graduate-professional,married,unemployed,chocolate,yes,no,party-a
63,21500,other,graduate-professional,single,employed,vanilla,yes,yes,party-b
70,56500,caucasian,graduate-professional,married,employed,vanilla,yes,yes,party-a
72,44500,hispanic,high-school,married,unemployed,vanilla,yes,yes,party-a
83,68500,asian,high-school,single,unemployed,chocolate,yes,no,party-a
69,15000,hispanic,graduate-professional,married,employed,chocolate,yes,no,party-b
52,61000,other,graduate-professional,single,employed,vanilla,no,no,party-a
78,20000,other,high-school,single,unemployed,vanilla,no,no,party-b
68,58500,asian,graduate-professional,single,unemployed,vanilla,no,no,party-a
45,62000,asian,college,married,employed,chocolate,no,no,party-a
39,58000,african-american,high-school,married,employed,vanilla,yes,no,party-b
19,43000,asian,high-school,single,unemployed,chocolate,yes,no,party-a
26,105500,hispanic,not-high-school,married,employed,vanilla,no,no,party-b
25,31500,caucasian,college,single,employed,vanilla,yes,no,party-a
47,39000,hispanic,college,married,employed,vanilla,no,no,party-b
29,32000,caucasian,not-high-school,single,employed,vanilla,yes,no,party-b
68,109500,other,college,married,unemployed,vanilla,yes,no,party-b
52,53000,hispanic,high-school,single,employed,chocolate,no,no,party-a
75,81000,african-american,graduate-professional,married,unemployed,chocolate,yes,yes,party-a
58,54000,other,college,single,employed,chocolate,no,no,party-b
47,28500,asian,graduate-professional,single,employed,vanilla,yes,no,party-a
28,73500,other,high-school,single,employed,chocolate,yes,yes,party-a
20,36000,asian,high-school,single,employed,chocolate,yes,no,party-a
53,56500,african-american,high-school,married,employed,vanilla,yes,yes,party-a
64,46000,caucasian,college,single,employed,vanilla,no,yes,party-b
24,36000,african-american,not-high-school,single,employed,vanilla,yes,yes,party-b
38,34500,hispanic,graduate-professional,single,employed,chocolate,yes,no,party-b
27,49500,hispanic,high-school,single,employed,chocolate,no,no,party-a
21,84000,other,college,single,employed,vanilla,no,no,party-a
29,30500,caucasian,high-school,single,employed,chocolate,yes,no,party-a
65,18500,caucasian,high-school,single,employed,chocolate,no,yes,party-b
74,25500,other,high-school,married,employed,vanilla,yes,yes,party-b
64,36500,asian,high-school,single,unemployed,chocolate,no,yes,party-b
53,72000,other,not-high-school,single,employed,vanilla,no,yes,party-b
55,135500,african-american,graduate-professional,single,employed,chocolate,no,no,party-b
47,80500,hispanic,high-school,single,employed,chocolate,yes,yes,party-b
73,62000,asian,college,married,unemployed,vanilla,yes,yes,party-a
20,97500,hispanic,college,married,employed,vanilla,yes,yes,party-a
47,88500,african-american,high-school,married,unemployed,vanilla,yes,no,party-b
24,35500,caucasian,high-school,married,employed,vanilla,yes,yes,party-a
78,69000,caucasian,college,married,unemployed,chocolate,yes,no,party-a
34,84500,asian,high-school,single,employed,chocolate,no,no,party-a
25,108000,hispanic,graduate-professional,married,employed,chocolate,no,yes,party-a
18,66500,hispanic,not-high-school,married,unemployed,chocolate,yes,no,party-a
18,38000,asian,high-school,single,employed,chocolate,yes,no,party-a
38,56500,african-american,college,single,employed,vanilla,yes,yes,party-b
45,47500,hispanic,high-school,single,employed,chocolate,yes,no,party-a
80,35500,asian,high-school,single,unemployed,vanilla,no,yes,party-b
57,35500,other,not-high-school,married,employed,vanilla,no,yes,party-b
32,40500,asian,college,single,unemployed,vanilla,yes,no,party-a
51,39000,asian,high-school,single,employed,vanilla,no,no,party-b
66,109500,hispanic,high-school,married,employed,chocolate,yes,yes,party-b
37,32000,african-american,high-school,married,employed,chocolate,yes,no,party-b
56,99000,other,graduate-professional,single,employed,chocolate,yes,yes,party-a
65,32500,african-american,college,married,unemployed,vanilla,yes,yes,party-a
48,46500,hispanic,not-high-school,single,employed,chocolate,yes,no,party-b
70,74000,hispanic,high-school,single,employed,vanilla,no,yes,party-a
62,41000,caucasian,graduate-professional,married,employed,chocolate,yes,no,party-b
63,67500,asian,college,single,employed,vanilla,yes,no,party-a
71,37000,other,graduate-professional,married,unemployed,vanilla,no,no,party-b
63,79500,asian,college,married,employed,chocolate,no,no,party-b
40,43500,asian,high-school,married,unemployed,vanilla,no,yes,party-a
69,29000,asian,high-school,married,employed,vanilla,no,no,party-b
60,21000,asian,not-high-school,married,employed,chocolate,yes,no,party-b
77,23000,other,college,married,employed,vanilla,yes,yes,party-a
60,45000,asian,college,married,employed,vanilla,yes,no,party-a
45,79000,asian,high-school,married,employed,chocolate,yes,yes,party-b
55,65000,hispanic,high-school,single,employed,chocolate,yes,no,party-a
54,90000,other,college,single,employed,chocolate,yes,no,party-a
70,80500,asian,high-school,married,unemployed,chocolate,no,yes,party-a
23,74500,asian,high-school,married,employed,vanilla,yes,yes,party-a
65,200500,other,college,married,employed,chocolate,yes,no,party-b
82,20500,hispanic,not-high-school,married,unemployed,chocolate,yes,yes,party-b
30,80000,african-american,high-school,single,employed,vanilla,yes,no,party-b
70,21000,asian,college,single,unemployed,vanilla,yes,no,party-a
41,107500,asian,high-school,single,employed,chocolate,no,no,party-b
68,22000,caucasian,college,single,employed,chocolate,no,no,party-b
75,73500,asian,graduate-professional,married,unemployed,vanilla,yes,no,party-a
50,36000,hispanic,high-school,single,employed,vanilla,yes,no,party-b
46,42500,african-american,college,single,employed,vanilla,yes,no,party-b
62,45500,hispanic,high-school,single,employed,chocolate,yes,no,party-a
27,40000,african-american,high-school,single,employed,chocolate,no,no,party-a
25,40000,other,college,single,employed,chocolate,no,yes,party-a
52,91000,caucasian,graduate-professional,married,employed,vanilla,yes,yes,party-b
36,61000,african-american,high-school,single,employed,chocolate,yes,no,party-a
18,21000,other,high-school,single,employed,vanilla,no,no,party-a
37,66500,caucasian,high-school,married,unemployed,vanilla,yes,no,party-b
69,75000,hispanic,graduate-professional,married,employed,vanilla,yes,yes,party-a
44,95500,hispanic,high-school,single,employed,chocolate,yes,yes,party-b
55,60000,african-american,college,single,employed,chocolate,yes,yes,party-b
52,38000,asian,high-school,single,employed,chocolate,no,no,party-b
21,21000,other,high-school,single,unemployed,chocolate,yes,yes,party-a
67,40500,asian,high-school,single,unemployed,vanilla,yes,no,party-b
20,52500,hispanic,college,single,unemployed,chocolate,yes,no,party-a
74,67500,caucasian,college,married,unemployed,vanilla,yes,no,party-a
80,39000,asian,high-school,married,employed,vanilla,no,yes,party-a
40,60000,asian,college,married,employed,vanilla,yes,no,party-b
76,59500,caucasian,not-high-school,married,unemployed,vanilla,yes,yes,party-a
41,50000,asian,college,married,unemployed,vanilla,yes,yes,party-a
57,44000,hispanic,college,single,employed,chocolate,no,yes,party-b
64,156000,hispanic,college,single,employed,chocolate,no,yes,party-a
24,55500,caucasian,high-school,single,unemployed,chocolate,no,no,party-a
39,100500,asian,college,single,employed,vanilla,yes,yes,party-a
39,66000,hispanic,college,married,employed,chocolate,no,yes,party-a
60,33000,african-american,not-high-school,married,employed,vanilla,no,no,party-b
48,21500,african-american,college,single,employed,chocolate,yes,yes,party-b
33,201500,asian,graduate-professional,single,employed,chocolate,yes,yes,party-b
42,44000,other,graduate-professional,married,employed,chocolate,yes,no,party-a
57,40000,asian,high-school,single,unemployed,chocolate,yes,no,party-b
25,84000,other,high-school,single,employed,chocolate,no,no,party-a
55,25500,african-american,graduate-professional,married,unemployed,chocolate,no,no,party-b
49,53500,other,college,single,employed,chocolate,yes,no,party-b
24,52000,hispanic,college,single,employed,vanilla,yes,no,party-a
22,27500,hispanic,high-school,single,employed,vanilla,no,no,party-a
20,41000,hispanic,high-school,single,employed,vanilla,no,no,party-b
56,37000,caucasian,high-school,married,employed,vanilla,no,yes,party-a
31,87000,african-american,not-high-school,single,employed,vanilla,no,no,party-a
38,78500,caucasian,graduate-professional,single,employed,vanilla,yes,yes,party-a
26,21500,hispanic,high-school,single,employed,chocolate,yes,no,party-a
62,70000,hispanic,college,married,employed,chocolate,yes,yes,party-a
49,184000,hispanic,college,married,employed,chocolate,yes,no,party-b
82,46000,other,college,married,unemployed,chocolate,yes,yes,party-a
53,108500,asian,graduate-professional,single,unemployed,chocolate,yes,no,party-b
73,117500,hispanic,college,married,unemployed,chocolate,yes,yes,party-a
36,109000,caucasian,college,married,employed,vanilla,no,no,party-b
27,29500,african-american,high-school,single,unemployed,vanilla,no,no,party-a
46,155500,other,college,single,unemployed,chocolate,no,yes,party-b
19,66000,asian,graduate-professional,single,unemployed,vanilla,yes,no,party-a
31,166500,asian,college,single,employed,chocolate,no,no,party-b
22,70000,african-american,college,married,unemployed,vanilla,no,no,party-b
70,55500,asian,high-school,married,unemployed,vanilla,yes,no,party-b
73,126500,other,college,married,employed,chocolate,no,yes,party-a
29,98000,asian,graduate-professional,single,employed,vanilla,yes,yes,party-a
42,48000,other,college,single,employed,chocolate,yes,no,party-a
70,61500,african-american,high-school,married,unemployed,vanilla,yes,yes,party-a
20,71500,hispanic,college,single,employed,chocolate,yes,no,party-a
52,95000,other,not-high-school,married,employed,chocolate,yes,no,party-b
38,26500,asian,not-high-school,single,employed,vanilla,no,no,party-b
41,15000,other,not-high-school,married,unemployed,chocolate,no,no,party-b
21,28000,caucasian,high-school,single,employed,chocolate,yes,no,party-b
64,17000,asian,high-school,married,employed,chocolate,yes,yes,party-a
38,134500,other,college,married,employed,chocolate,yes,yes,party-b
58,56000,asian,high-school,married,unemployed,vanilla,yes,no,party-a
30,28500,caucasian,high-school,married,employed,chocolate,yes,yes,party-b
79,20000,caucasian,high-school,married,unemployed,vanilla,yes,no,party-b
33,29500,african-american,high-school,single,employed,vanilla,yes,no,party-b
77,76000,african-american,college,married,unemployed,chocolate,no,yes,party-a
59,89500,other,college,single,employed,chocolate,yes,no,party-a
35,106000,other,college,single,employed,vanilla,yes,no,party-b
76,52000,other,not-high-school,single,employed,vanilla,yes,yes,party-b
29,38500,caucasian,college,married,employed,vanilla,yes,yes,party-a
35,18000,caucasian,not-high-school,single,employed,vanilla,no,no,party-a
77,18000,african-american,graduate-professional,single,unemployed,vanilla,no,no,party-a
38,63000,african-american,graduate-professional,married,employed,vanilla,yes,no,party-a
35,122500,other,college,single,employed,chocolate,yes,yes,party-b
83,50000,other,college,married,employed,vanilla,no,yes,party-a
73,46500,hispanic,college,married,employed,vanilla,no,no,party-a
46,50000,other,high-school,married,employed,vanilla,no,no,party-b
75,30500,african-american,high-school,single,unemployed,vanilla,no,yes,party-b
51,52500,african-american,college,married,employed,vanilla,no,yes,party-b
67,138500,caucasian,college,single,employed,vanilla,yes,no,party-a
20,74000,caucasian,high-school,single,employed,vanilla,yes,yes,party-a
19,59500,asian,college,single,unemployed,chocolate,no,no,party-a
48,54500,hispanic,high-school,single,employed,chocolate,no,no,party-b
40,50500,hispanic,college,married,employed,vanilla,yes,no,party-b
41,115500,other,graduate-professional,single,employed,vanilla,yes,yes,party-b
82,120500,hispanic,graduate-professional,single,unemployed,vanilla,yes,yes,party-b
69,62000,caucasian,college,married,unemployed,chocolate,yes,yes,party-a
50,107000,caucasian,college,single,employed,chocolate,yes,yes,party-b
72,105000,caucasian,high-school,married,unemployed,chocolate,no,yes,party-b
45,92500,hispanic,college,married,unemployed,vanilla,yes,no,party-b
75,60500,other,graduate-professional,married,unemployed,vanilla,no,no,party-b
41,76500,other,graduate-professional,single,employed,chocolate,no,no,party-a
42,28000,african-american,college,married,employed,vanilla,yes,yes,party-b
34,93000,caucasian,college,single,employed,vanilla,no,no,party-b
58,37500,african-american,college,married,employed,vanilla,no,no,party-b
54,92000,asian,college,married,unemployed,vanilla,no,yes,party-a
22,55000,african-american,high-school,single,employed,vanilla,yes,no,party-a
65,38000,other,college,married,employed,chocolate,no,yes,party-b
37,47500,asian,college,married,employed,vanilla,yes,yes,party-a
51,73500,african-american,college,single,employed,chocolate,yes,yes,party-b
28,41000,african-american,high-school,single,employed,chocolate,yes,no,party-a
46,44000,asian,college,married,unemployed,vanilla,no,yes,party-a
48,118500,caucasian,college,single,employed,vanilla,no,yes,party-b
18,35000,asian,high-school,single,unemployed,vanilla,yes,no,party-a
37,98500,african-american,graduate-professional,married,employed,vanilla,no,yes,party-a
73,54500,african-american,high-school,married,unemployed,vanilla,no,yes,party-a
62,105000,asian,college,single,employed,chocolate,no,yes,party-b
38,44000,african-american,college,single,unemployed,chocolate,yes,no,party-a
25,57500,hispanic,graduate-professional,married,employed,chocolate,yes,yes,party-a
63,158000,asian,high-school,married,employed,vanilla,no,yes,party-b
40,82500,asian,high-school,single,employed,vanilla,yes,no,party-b
81,47000,asian,college,married,employed,chocolate,yes,no,party-a
47,70500,hispanic,college,married,employed,chocolate,no,no,party-b
52,59500,other,high-school,single,employed,chocolate,no,no,party-a
19,34500,caucasian,high-school,single,unemployed,chocolate,no,no,party-a
33,54500,african-american,college,married,employed,vanilla,yes,no,party-b
84,33500,other,high-school,single,employed,chocolate,no,yes,party-a
22,133500,hispanic,college,single,employed,chocolate,yes,yes,party-b
82,49500,other,high-school,single,unemployed,vanilla,yes,no,party-a
35,112000,african-american,high-school,single,employed,vanilla,yes,no,party-b
84,25000,caucasian,high-school,married,employed,vanilla,no,yes,party-a
30,84500,other,graduate-professional,single,employed,chocolate,no,no,party-b
45,100500,hispanic,graduate-professional,married,employed,vanilla,yes,yes,party-a
57,220000,asian,graduate-professional,single,employed,vanilla,no,yes,party-a
72,15000,african-american,not-high-school,married,employed,vanilla,no,yes,party-b
40,29000,asian,graduate-professional,married,employed,chocolate,yes,yes,party-a
55,68500,african-american,high-school,married,employed,chocolate,no,yes,party-a
28,133000,asian,graduate-professional,married,employed,vanilla,yes,yes,party-a
81,55000,caucasian,high-school,single,unemployed,vanilla,no,yes,party-a
44,15000,other,high-school,married,employed,chocolate,yes,no,party-b
63,55500,asian,high-school,single,employed,vanilla,yes,no,party-a
27,66000,caucasian,college,single,employed,vanilla,no,yes,party-a
62,62500,asian,college,married,employed,chocolate,no,no,party-b
39,99500,caucasian,college,single,unemployed,vanilla,yes,no,party-b
19,150500,caucasian,college,single,employed,chocolate,no,yes,party-a
45,120500,african-american,college,single,employed,chocolate,yes,no,party-a
62,44500,caucasian,high-school,married,employed,chocolate,no,no,party-b
76,117000,asian,graduate-professional,married,unemployed,chocolate,yes,yes,party-a
46,75000,asian,graduate-professional,married,employed,vanilla,no,yes,party-a
34,16000,african-american,high-school,single,employed,chocolate,yes,no,party-b
51,69500,other,college,married,employed,chocolate,yes,no,party-b
79,52500,asian,high-school,married,unemployed,chocolate,yes,yes,party-a
70,106500,asian,college,married,unemployed,vanilla,yes,no,party-b
64,115500,african-american,graduate-professional,married,employed,chocolate,yes,yes,party-b
50,26500,african-american,not-high-school,married,unemployed,vanilla,yes,no,party-b
36,53500,hispanic,college,married,employed,vanilla,yes,no,party-b
48,34500,caucasian,high-school,single,employed,vanilla,no,no,party-b
31,45000,caucasian,college,single,employed,chocolate,no,yes,party-a
30,33500,other,high-school,married,employed,vanilla,no,no,party-b
27,21500,african-american,high-school,single,employed,vanilla,yes,no,party-a
29,85500,african-american,college,single,employed,vanilla,yes,no,party-a
44,69500,other,graduate-professional,single,employed,chocolate,yes,no,party-a
56,43500,african-american,not-high-school,married,employed,vanilla,yes,yes,party-a
48,110000,african-american,college,married,employed,vanilla,no,yes,party-a
31,37000,african-american,high-school,married,employed,vanilla,no,no,party-b
21,90000,asian,college,married,employed,chocolate,yes,yes,party-a
36,79000,asian,graduate-professional,single,unemployed,vanilla,yes,no,party-b
34,49000,other,not-high-school,single,employed,chocolate,no,no,party-a
38,28000,asian,college,married,employed,vanilla,yes,no,party-b
46,59000,other,college,single,employed,vanilla,yes,yes,party-b
19,23000,hispanic,college,single,unemployed,chocolate,yes,no,party-a
51,48000,other,high-school,single,employed,vanilla,yes,yes,party-b
76,64500,hispanic,college,single,employed,vanilla,no,yes,party-b
40,67500,asian,college,single,unemployed,vanilla,yes,no,party-a
36,18000,african-american,college,single,employed,vanilla,yes,no,party-a
49,33000,caucasian,college,married,employed,vanilla,yes,no,party-b
46,84000,caucasian,high-school,single,employed,vanilla,no,no,party-a
23,46000,other,high-school,married,employed,vanilla,yes,no,party-a
49,27500,asian,high-school,single,employed,vanilla,yes,no,party-b
72,23000,caucasian,high-school,married,employed,vanilla,yes,yes,party-b
28,30000,other,graduate-professional,single,employed,vanilla,yes,no,party-a
67,21000,hispanic,college,married,employed,chocolate,yes,no,party-b
56,34500,caucasian,graduate-professional,married,employed,chocolate,yes,no,party-a
77,42000,other,graduate-professional,married,unemployed,vanilla,no,yes,party-a
61,38000,caucasian,college,married,employed,chocolate,yes,yes,party-a
33,86000,asian,graduate-professional,married,employed,chocolate,yes,yes,party-b
28,26000,asian,high-school,single,employed,chocolate,yes,no,party-a
44,61000,asian,high-school,single,employed,chocolate,yes,no,party-a
25,21000,hispanic,college,single,employed,chocolate,no,no,party-b
49,61000,other,high-school,married,employed,chocolate,no,yes,party-b
33,61000,caucasian,high-school,married,employed,vanilla,no,yes,party-a
